Koşu,Çıktı,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,
,5.83,ÜNLÜ BOMBA,1400,Kum,57,56.1,Ankara
,5.92,İPHİKLOS,1400,Kum,53.5,60.5,Kocaeli
,6.11,BALDWIN,1600,Çim,59,55.5,Ankara
,6.23,SAMURAI CEK,1900,Çim,53.5,58,Ankara
,6.29,HARD LION,1900,Çim,60,58,Ankara
,6.37,FAST TANGO,1900,Çim,53.5,58,Ankara
2. Koşu,,,,,,,
,5.96,DARK VEYRON,1000,Çim,59,57,Ankara
,6.09,GRENTLY WINS,1400,Kum,59,53,Ankara
,6.13,MARCO KING,1300,Çim,59,54,Ankara
,6.16,QUİEREME,1200,Çim,52,52,İstanbul
,6.22,HUAYRA,1200,Çim,57,52,İstanbul
3. Koşu,,,,,,,
,6.75,KÖKLÜ XALO,2000,Kum,57,54,Ankara
,6.82,GHOST CAT,2000,Kum,57,54.4,Ankara
,6.84,DEMEDİ DEME,2000,Kum,57,55,Adana
,7.06,GÜNTÜRK,2200,Çim,56,54.1,Ankara
,7.10,UYANIŞ ANADOLU,2200,Çim,60,57,Ankara
,7.35,BELLINZONA,2100,Sentetik,55,52.6,İstanbul
4. Koşu,,,,,,,
,6.62,SEYRET BENİ,1500,Sentetik,54,60.5,İstanbul
,6.81,ODHAN TAY,1900,Çim,50,58,Ankara
,6.82,MİR KARTALI,1400,Çim,53.5,58,Ankara
,6.89,ASİLASLAN,1600,Çim,61,56.3,Ankara
,6.91,ZEYBEK AĞA,1200,Sentetik,56.5,57.3,İstanbul
,6.95,ÇÖL PAŞA,1900,Çim,54,58,Adana
,6.99,FERMANDER,1500,Çim,60.5,56.2,Bursa
,7.10,HAYATIMINCANI,2400,Çim,60,61,Ankara
,7.17,PUSAT BEYİ,2000,Kum,59,61,Ankara
5. Koşu,,,,,,,
,6.60,TANOBA,1300,Kum,57,57,Ankara
,6.77,KASIRGA BEY,1300,Çim,54,57,Ankara
,6.81,SERİNTEPE,1200,Çim,57,57,İzmir
,6.81,UMUDUM DENİZ,1300,Kum,57,57,Ankara
,6.83,ALŞUBATHAN,1400,Çim,59,57,Ankara
,6.83,DODOKAN,1300,Kum,57,54,Ankara
,6.86,YILDIZTEPE,1000,Çim,57,57,Ankara
,6.94,CESUR ALTIN,1300,Kum,57,57,Ankara
,6.95,ÖMER EYÜP,1400,Çim,59,59,Ankara
,7.00,SEÇİLKIZ,1200,Çim,55,57.2,İstanbul
,7.39,SENUBEN,1300,Kum,57,54,Ankara
,geçersiz,SERTBAKAN,,,55,,
6. Koşu,,,,,,,
,6.07,BLACK PABLO,1500,Kum,54,59.5,Ankara
,6.19,HALLELUKA,1500,Kum,60.5,60,Ankara
,6.21,RAİNY SİOL,1500,Kum,55.5,59,Ankara
,6.28,SIRIUS BLACK,1500,Kum,61,57,Ankara
,6.38,DOĞANTÜRKBEYİ,1500,Sentetik,54.5,58,İstanbul
,6.41,I HAVE A DREAM,1500,Sentetik,56.5,60,İstanbul
7. Koşu,,,,,,,
,6.60,GLITTER WINGS,1500,Kum,58,60,Ankara
,6.68,KING OF MUNZUR,2200,Kum,58,52,Ankara
,6.71,FROU FROU,1500,Kum,61,59,Ankara
,6.97,SECRET MAN,1500,Kum,58,56.5,Ankara
,7.50,BUMMER GIRL,1900,Çim,54,55.1,Ankara
8. Koşu,,,,,,,
,6.53,ÖZTEKBEY,1600,Çim,59,60,İstanbul
,6.57,DİLAN KIZ,1400,Çim,60,61.5,İstanbul
,6.61,KÜÇÜK MİRZA,1400,Çim,57,56.1,Ankara
,6.64,ERKŞAN,2200,Çim,56,60,Ankara
,6.79,BENİM SULTANIM,2000,Çim,56,58,Bursa
,6.80,ALDA GÖR,1600,Çim,59,60,Ankara
,6.87,CANYURT,1200,Kum,53,57,Ankara
9. Koşu,,,,,,,
,6.40,VETCİHAN,1300,Kum,53,57,Ankara
,6.54,METİNCİM,1300,Kum,57,57.1,Ankara
,6.58,FERAT,1300,Kum,59,57,Ankara
,6.62,GÜNMETE,1300,Kum,57,57,Ankara
,6.64,TABİP BEY,1400,Kum,57,57,Kocaeli
,6.69,YERDENİZ,1400,Kum,58,58,Kocaeli
,6.76,AYDÜMEN,1300,Kum,57,57,Ankara
,6.87,BAŞ DAĞYUDAN,1400,Çim,59,59,Ankara
,6.87,HAMURKAR BİR,1200,Çim,55,57.1,Ankara
,6.95,DORU REİS,1200,Kum,57,54.5,Ankara
,7.04,AKSU KAAN,1300,Kum,57,57,Ankara
,7.28,AZAT BABA,1300,Kum,57,54,Ankara
,8.16,SER DAĞYUDAN,1400,Çim,58,59,Ankara
