Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
1,MERCİA,/at/100885/mercia,Berkant Gökçe,58,1400,Kum,1.30.93,56,1200,Kum,Bursa,Bursa
1,AMERİKALI CENGO,/at/100931/amerikali-cengo,M.Kaya,58,1400,Kum,1.28.22,50.8,1200,Kum,Bursa,Kocaeli
1,JOYNER RUNNER,/at/100656/joyner-runner,A.İnci,58,1400,Kum,1.28.52,57,1200,Kum,Bursa,Bursa
1,LAST STROM,/at/98130/last-strom,B.M.Mırık,58,1400,Kum,1.29.05,58,1200,Kum,Bursa,İzmir
1,SENSE OF VICTORY,/at/100974/sense-of-victory,M.Çiçek,58,1400,Kum,1.29.65,57,1200,Kum,Bursa,Bursa
1,DEHLİN,/at/99194/dehlin,M.M.Bilgin,56,1400,Kum,1.27.33,56.5,1200,Kum,Bursa,Kocaeli
1,ESİN GÜZELİ,/at/99855/esin-guzeli,O.Atmaca,56,1400,Kum,Drc.siz,58,1200,Kum,Bursa,Kocaeli
1,SÖĞÜTLÜ AĞASI,/at/99556/sogutlu-agasi,Murat Keçeci,54,1400,Kum,1.32.60,54,1200,Kum,Bursa,Bursa
1,WATER IS LIFE,/at/99222/water-is-life,İ.Gün,50,1400,Çim,1.31.23,56,1200,Kum,Bursa,Bursa
1,HYPNOTİZER,/at/100244/hypnotizer,Ha.Gökçe,51,1400,Kum,1.35.43,55.6,1200,Kum,Bursa,Bursa
2,GOD OF LOVE,/at/92746/god-of-love,Berkant Gökçe,59,1300,Çim,1.16.33,58,1300,Kum,Bursa,Bursa
2,REYNA,/at/98880/reyna,Efe Korkmaz,56,1500,Kum,1.35.69,53.5,1300,Kum,Bursa,Ankara
2,TIROL HOPE,/at/91422/tirol-hope,O.Atmaca,60,1800,Kum,2.03.71,58.1,1300,Kum,Bursa,Bursa
2,TRUE ANGEL,/at/95716/true-angel,H.Turan,56,1900,Kum,2.12.09,59,1300,Kum,Bursa,Kocaeli
2,I RO,/at/92711/i-ro,O.Öztürk,58,1300,Sentetik,1.18.86,56.3,1300,Kum,Bursa,İstanbul
2,MISS ECDAD,/at/96626/miss-ecdad,Murat Keçeci,54,1800,Kum,1.58.05,56.4,1300,Kum,Bursa,Bursa
2,GENÇAY NALAN,/at/96358/gencay-nalan,Mahsun Turan,57,1300,Kum,1.29.20,58.5,1300,Kum,Bursa,Şanlıurfa
2,İŞİN ASLI,/at/71882/isin-asli,T.Alıcı,57,1800,Kum,2.03.72,63,1300,Kum,Bursa,Bursa
2,ÖYKÜMÜN FIRTINASI,/at/99670/oykumun-firtinasi,C.Altun,56.5,1400,Kum,1.29.31,56,1300,Kum,Bursa,Bursa
2,ALWAYS WIN,/at/97136/always-win,Y.E.Yüksel,54.5,1800,Kum,2.10.08,53.5,1300,Kum,Bursa,Bursa
2,BURSA BÜLBÜLÜ,/at/101149/bursa-bulbulu,S.Gülenyüzler,53.5,,,,,1300,Kum,Bursa,
