Koşu,Çıktı,Birinci Derece,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,,
,6.10,6.10,DEHLİN,1400,Kum,56,56.5,Kocaeli
,6.24,6.24,JOYNER RUNNER,1400,Kum,58,57,Bursa
,6.25,6.20,LAST STROM,1400,Kum,58,58,İzmir
,6.32,6.25,AMERİKALI CENGO,1400,Kum,58,50.8,Kocaeli
,6.32,6.25,SENSE OF VICTORY,1400,Kum,58,57,Bursa
,6.43,6.27,MERCİA,1400,Kum,58,56,Bursa
,6.51,6.23,SÖĞÜTLÜ AĞASI,1400,Kum,54,54,Bursa
,6.62,6.13,HYPNOTİZER,1400,Kum,51,55.6,Bursa
,6.99,6.32,WATER IS LIFE,1400,Çim,50,56,Bursa
,geçersiz,6.12,ESİN GÜZELİ,1400,Kum,56,58,Kocaeli
2. Koşu,,,,,,,,
,6.26,6.32,REYNA,1500,Kum,56,53.5,Ankara
,6.26,6.25,MISS ECDAD,1800,Kum,54,56.4,Bursa
,6.33,6.29,ÖYKÜMÜN FIRTINASI,1400,Kum,56.5,56,Bursa
,6.37,6.28,GENÇAY NALAN,1300,Kum,57,58.5,Şanlıurfa
,6.46,6.02,I RO,1300,Sentetik,58,56.3,İstanbul
,6.50,6.23,İŞİN ASLI,1800,Kum,57,63,Bursa
,6.56,6.46,GOD OF LOVE,1300,Çim,59,58,Bursa
,6.56,6.23,TRUE ANGEL,1900,Kum,56,59,Kocaeli
,6.66,6.33,TIROL HOPE,1800,Kum,60,58.1,Bursa
,6.99,6.32,ALWAYS WIN,1800,Kum,54.5,53.5,Bursa
,geçersiz,,BURSA BÜLBÜLÜ,,,53.5,,
3. Koşu,,,,,,,,
,6.91,6.86,BENİCE GÜLÜ,2000,Kum,54,59,İzmir
,6.97,6.95,BAL BERFİN,1300,Kum,54,59,Bursa
,7.32,7.36,FIRTINALI GÖK,1200,Çim,56,58,İzmir
,7.39,7.45,OYAZADE,1900,Çim,57,52.4,Ankara
,7.44,7.00,UMUDUMUZ,1400,Kum,58,54.7,Bursa
,7.55,7.13,GÖK ZÜMRÜT,2000,Kum,54,55,Kocaeli
,7.65,6.98,ÖZSERÇE,1800,Kum,50,54.7,Bursa
4. Koşu,,,,,,,,
,6.44,6.42,MONUMENTAL,1900,Kum,51.5,58.5,Kocaeli
,6.50,6.52,WINNIE WINNIE,1900,Kum,57,59,Kocaeli
,6.59,6.58,MULTIVERSE,1800,Kum,52.5,56,Bursa
,6.66,6.48,TROUBLE BOY,2200,Kum,58.5,55.2,Ankara
,6.71,6.46,BY YAĞIZ,1400,Kum,55.5,55.4,Kocaeli
,6.76,6.54,HELLBOY,2100,Kum,60,56,Bursa
,6.78,6.56,KANDIRABEYİ,2100,Kum,61,56,Bursa
,6.78,6.76,PRIVATE JET,1800,Çim,57,58,Bursa
,6.85,6.82,MR MONK,2000,Çim,55.5,57,Bursa
,7.60,6.09,DOĞU ASLANI,2100,Sentetik,50,56,İstanbul
5. Koşu,,,,,,,,
,7.28,7.20,BERTUĞHAN,1400,Kum,58,57,Kocaeli
,7.37,7.34,GÜÇLÜ KRAL,2000,Kum,59.5,54,Bursa
,7.38,7.34,YETİM İBRAHİM,1800,Kum,56.5,58,Bursa
,7.41,7.37,MUHLİSHAN,1400,Kum,59,56.7,Bursa
,7.43,7.43,ŞANLI ANKA,2000,Kum,63,53,Bursa
,7.51,7.46,BİBAŞAH,1800,Kum,57.5,53,Bursa
,7.54,7.38,BİTİRİM PRENSES,2000,Kum,56,53.5,Bursa
,7.60,7.60,ASUMAN HANIM,2000,Çim,58.5,60,İzmir
,7.85,7.87,BAĞNI ÇİÇEK,1900,Çim,57,58,İstanbul
,7.85,7.72,CÜREKLİ AKTABAN,1200,Çim,57,53.8,Bursa
,7.88,7.71,ÇİMENGÖZ,1200,Çim,60,57.4,Bursa
,7.95,7.60,HIZLI BAKIŞ,2200,Çim,53.5,49.3,Bursa
6. Koşu,,,,,,,,
,6.45,6.46,QUANTUM OF SOLACE,1900,Kum,60,58,İzmir
,6.57,6.58,POWER SPEED,1400,Kum,58,58,Bursa
,6.60,6.60,HANÖMER,1200,Kum,58,52,Bursa
,6.66,6.69,CAN SADİ,2400,Çim,58,58,İzmir
,6.86,6.64,PAKSUHAN,1800,Kum,54,55,Bursa
,6.92,6.89,BRUSK SHOT,2000,Çim,58,60,Bursa
7. Koşu,,,,,,,,
,6.76,6.76,ASLAN HATİP,1400,Kum,59,57,Kocaeli
