at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
MERCİA,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141769&at=100885,1.30.93,6,POWER SPEED,1.28.56,"2,05",1400,Kum
AMERİKALI CENGO,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/4/sonuclar?kosu=141769&at=100931,1.28.22,4,LUPELYAN,1.26.91,"8,10",1400,Kum
JOYNER RUNNER,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/31-01-2025/bursa/3/sonuclar?kosu=141769&at=100656,1.28.52,1,JOYNER RUNNER,1.28.52,"1,40",1400,Kum
LAST STROM,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/04-09-2025/izmir/10/sonuclar?kosu=141769&at=98130,1.29.05,3,KIZIM UTKUN,1.28.24,"8,15",1400,Kum
SENSE OF VICTORY,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141769&at=100974,1.29.65,4,POWER SPEED,1.28.56,"2,05",1400,Kum
DEHLİN,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/4/sonuclar?kosu=141769&at=99194,1.27.33,3,LUPELYAN,1.26.91,"8,10",1400,Kum
ESİN GÜZELİ,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/kocaeli/8/sonuclar?kosu=141769&at=99855,Drc.siz,2,PRATUM PUELLA,1.27.66,"17,30",1400,Kum
SÖĞÜTLÜ AĞASI,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141769&at=99556,1.32.60,7,POWER SPEED,1.28.56,"2,05",1400,Kum
WATER IS LIFE,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/01-09-2025/bursa/5/sonuclar?kosu=141769&at=99222,1.31.23,14,JUST DO IT,1.22.25,"3,95",1400,Çim
HYPNOTİZER,,20250926,bursa,1,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141769&at=100244,1.35.43,9,POWER SPEED,1.28.56,"2,05",1400,Kum
GOD OF LOVE,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/11-07-2025/bursa/4/sonuclar?kosu=141770&at=92746,1.16.33,6,ROSSO E BIANCO,1.15.06,"1,60",1300,Çim
REYNA,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/ankara/4/sonuclar?kosu=141770&at=98880,1.35.69,4,SEHERİN YELİ,1.35.56,"4,00",1500,Kum
TIROL HOPE,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/3/sonuclar?kosu=141770&at=91422,2.03.71,8,KANINDO,1.57.84,"3,05",1800,Kum
TRUE ANGEL,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/03-07-2025/kocaeli/5/sonuclar?kosu=141770&at=95716,2.12.09,7,GROUND SPEED,2.05.14,"1,70",1900,Kum
I RO,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/31-08-2025/istanbul/2/sonuclar?kosu=141770&at=92711,1.18.86,5,HERKHAN STAR,1.17.82,"12,75",1300,Kum
MISS ECDAD,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/3/sonuclar?kosu=141770&at=96626,1.58.05,2,KANINDO,1.57.84,"3,05",1800,Kum
GENÇAY NALAN,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/05-05-2025/sanliurfa/7/sonuclar?kosu=141770&at=96358,1.29.20,7,HENAIRE,1.21.98,"9,90",1300,Kum
İŞİN ASLI,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/9/sonuclar?kosu=141770&at=71882,2.03.72,13,CLOUDY TIMES,1.58.77,"3,10",1800,Kum
ÖYKÜMÜN FIRTINASI,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/3/sonuclar?kosu=141770&at=99670,1.29.31,3,POWER SPEED,1.28.56,"2,05",1400,Kum
ALWAYS WIN,,20250926,bursa,2,bursa_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/3/sonuclar?kosu=141770&at=97136,2.10.08,10,KANINDO,1.57.84,"3,05",1800,Kum
BURSA BÜLBÜLÜ,,20250926,bursa,2,bursa_atlari_20250926.json,,,,,,,,
OYAZADE,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/ankara/2/sonuclar?kosu=141773&at=97667,2.10.96,1,OYAZADE,2.10.96,"9,15",1900,Çim
BAL BERFİN,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/01-09-2025/bursa/8/sonuclar?kosu=141773&at=97485,1.31.32,3,İLCİN HATUN,1.31.00,"57,00",1300,Kum
UMUDUMUZ,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/25-08-2025/bursa/9/sonuclar?kosu=141773&at=97330,1.43.25,9,KUTADGU,1.37.01,"5,65",1400,Kum
BENİCE GÜLÜ,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/11-09-2025/izmir/7/sonuclar?kosu=141773&at=98455,2.26.50,4,ÖZGÜLEN GÜZELİ,2.25.12,"4,80",2000,Kum
FIRTINALI GÖK,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/18-09-2025/izmir/4/sonuclar?kosu=141773&at=98541,1.19.18,4,NURBANU SULTAN,1.18.92,"6,45",1200,Çim
GÖK ZÜMRÜT,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/12-08-2025/kocaeli/3/sonuclar?kosu=141773&at=98033,2.37.94,11,MUNİS,2.28.94,"6,70",2000,Kum
ÖZSERÇE,,20250926,bursa,3,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/5/sonuclar?kosu=141773&at=97280,2.23.04,12,DAMLA SUYU,2.10.88,"5,80",1800,Kum
WINNIE WINNIE,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/kocaeli/4/sonuclar?kosu=141771&at=101016,2.04.72,1,WINNIE WINNIE,2.04.72,"5,90",1900,Kum
KANDIRABEYİ,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/8/sonuclar?kosu=141771&at=94932,2.22.47,6,CORSARO,2.17.81,"4,25",2100,Kum
MR MONK,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/30-06-2025/bursa/9/sonuclar?kosu=141771&at=98819,2.04.87,6,SON OF THE STARS,2.04.15,"5,75",2000,Çim
TROUBLE BOY,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/13-09-2025/ankara/1/sonuclar?kosu=141771&at=99388,2.30.10,7,KING OF MUNZUR,2.24.33,"9,15",2200,Kum
PRIVATE JET,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/23-06-2025/bursa/8/sonuclar?kosu=141771&at=99813,1.49.18,4,THINDER OF SHINE,1.48.87,"1,25",1800,Çim
HELLBOY,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/8/sonuclar?kosu=141771&at=94883,2.22.48,7,CORSARO,2.17.81,"4,25",2100,Kum
BY YAĞIZ,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/16-09-2025/kocaeli/4/sonuclar?kosu=141771&at=100742,1.30.77,9,LUPELYAN,1.26.91,"8,10",1400,Kum
MULTIVERSE,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/12-09-2025/bursa/9/sonuclar?kosu=141771&at=99751,1.59.03,2,CLOUDY TIMES,1.58.77,"3,10",1800,Kum
MONUMENTAL,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/09-09-2025/kocaeli/4/sonuclar?kosu=141771&at=99161,2.05.56,3,WINNIE WINNIE,2.04.72,"5,90",1900,Kum
DOĞU ASLANI,,20250926,bursa,4,bursa_atlari_20250926.json,https://yenibeygir.com/17-09-2025/istanbul/2/sonuclar?kosu=141771&at=100414,2.35.80,11,KRİPTO,2.12.61,"2,50",2100,Kum
