Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
1,ÇAYCI KIZ,/at/97835/cayci-kiz,V.Abiş,62,2200,Çim,2.38.24,60,2200,Çim,İstanbul,İstanbul
1,ABDİ BABA,/at/97309/abdi-baba,İs.Yıldırım,59.5,1900,Çim,2.09.79,59.5,2200,Çim,İstanbul,İstanbul
1,AKBELHAN,/at/100161/akbelhan,M.Akyavuz,61.5,1700,Çim,1.54.38,58.8,2200,Çim,İstanbul,Bursa
1,TUNÇYILMAZ,/at/94392/tuncyilmaz,A.Sözen,63,2000,Çim,2.24.28,60,2200,Çim,İstanbul,Bursa
1,TAŞUCU,/at/93617/tasucu,E.Bozdağ,60,2400,Çim,2.48.46,52,2200,Çim,İstanbul,Ankara
1,YENİSİSTEM,/at/93778/yenisistem,H.Çizik,62,2000,Çim,2.14.81,56.5,2200,Çim,İstanbul,Bursa
1,CAN DENİZİM,/at/98929/can-denizim,Müs.Çelik,58,1900,Çim,2.10.50,61,2200,Çim,İstanbul,İstanbul
1,GUBAZ,/at/76234/gubaz,Ç.Taşçı,57,1900,Çim,2.15.61,59.5,2200,Çim,İstanbul,İstanbul
1,HALİD BEY,/at/94737/halid-bey,A.Aslan,58,1900,Çim,2.10.44,60.5,2200,Çim,İstanbul,İstanbul
1,AKTER TAY,/at/93894/akter-tay,A.Yıldız,57.5,1900,Çim,2.12.99,54.4,2200,Çim,İstanbul,İstanbul
1,ERSELAY,/at/97545/erselay,E.Aktuğ,53.5,1900,Çim,2.12.02,55,2200,Çim,İstanbul,Ankara
1,BABA MESUT,/at/99726/baba-mesut,A.Kaçmaz,50,1500,Sentetik,1.41.56,52,2200,Çim,İstanbul,İstanbul
2,FRECCIA,/at/100679/freccia,V.Abiş,58,1300,Çim,1.17.91,53.5,1400,Çim,İstanbul,İstanbul
2,BAŞ KRALİÇE,/at/98850/bas-kralice,A.Yıldız,56,1400,Çim,1.24.44,57.5,1400,Çim,İstanbul,Ankara
2,GLORY,/at/100003/glory,E.Aktuğ,56,1500,Sentetik,1.34.70,54,1400,Çim,İstanbul,İstanbul
2,HARPUT ASLANI,/at/98126/harput-aslani,Ahmet Çelik,56,1400,Çim,1.25.14,56.5,1400,Çim,İstanbul,İstanbul
2,KATANA BOY,/at/99132/katana-boy,H.Çizik,56,1700,Çim,1.42.59,56,1400,Çim,İstanbul,Bursa
2,PARİSLİ,/at/99056/parisli,Müs.Çelik,56,1400,Kum,1.29.43,61.5,1400,Çim,İstanbul,Kocaeli
2,RAAVIRA,/at/98125/raavira,B.Akçay,56,1400,Kum,Drc.siz,58,1400,Çim,İstanbul,Kocaeli
