Koşu,Çıktı,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,
,geçersiz,CİHANIN KIZI,,,57,,
,geçersiz,FINALLY IDYLL,,,57,,
,geçersiz,KÜREN,,,57,,
,geçersiz,LOURDES,,,57,,
,geçersiz,MAGICAL FLOWER,,,57,,
,geçersiz,MY FOUNTAIN,,,57,,
,geçersiz,MYSTIC MIRAGE,,,57,,
,geçersiz,PRINCESS ALBO,,,57,,
,geçersiz,SAVER SWORD,,,57,,
,geçersiz,SMOOTH CRIMINAL,,,57,,
2. Koşu,,,,,,,
,5.90,ZORRO,1200,Çim,56.5,60,Bursa
,6.03,YILDIRIMDURALİ,1900,Çim,56.3,60,İstanbul
,6.10,FILIUS VENTUS,1300,Çim,56,57,İstanbul
,6.11,WINNER GETS IT ALL,1600,Çim,55.8,58,İstanbul
,6.12,STAIN FREE,1900,Çim,57,58.5,İstanbul
,6.13,NOVADORA,1600,Çim,51.4,51.5,İstanbul
,6.21,DEMİRKURT,2800,Çim,58,56.8,İstanbul
,6.21,AGNODİS,1600,Çim,55.5,54,İstanbul
,6.24,VELOX,1300,Çim,54,61,İstanbul
,6.26,CHIQUITITA,1900,Çim,56,55.3,İstanbul
,6.26,MURODJON,2600,Çim,55.3,52.5,İstanbul
,6.53,MEKSİKALI PROTEO,2800,Çim,55,56.2,İstanbul
3. Koşu,,,,,,,
,6.10,BEACHCOMBER,1400,Sentetik,55,51.9,İstanbul
,6.11,INDIAN SUMMER,2100,Sentetik,56.1,57.5,İstanbul
,6.12,COMING RAIN,1300,Sentetik,56.5,57,İstanbul
,6.15,SPEEDY BOSS,1400,Sentetik,58.5,54,İstanbul
,6.16,MR NALÇAKAN,1200,Sentetik,60,56.5,İstanbul
,6.19,GÖXU AXU,1200,Sentetik,54.5,52,İstanbul
,6.20,BALERION,1200,Sentetik,60.5,57,İstanbul
,6.20,KING HOPE,1800,Kum,56,52,Kocaeli
,6.25,SWORD OF HONOUR,1400,Sentetik,53,52,İstanbul
,6.29,WAITING A SUNNYDAY,1400,Çim,52,56.3,İstanbul
,6.35,CRIMENA FIRE,1600,Çim,58.5,56.5,İstanbul
,6.39,HARVEY WALLBANGER,2100,Çim,59,59.5,İstanbul
,6.42,TUTTO BENE,2000,Sentetik,52.7,57,İstanbul
,geçersiz,ORANGE ARMY,1400,Kum,59,57.5,Kocaeli
4. Koşu,,,,,,,
,6.56,SOYDERE,2100,Sentetik,57,60,İstanbul
