Koşu,Çıktı,Birinci Derece,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,,
,6.72,6.64,BABA MESUT,1500,Sentetik,50,52,İstanbul
,6.89,6.92,CAN DENİZİM,1900,Çim,58,61,İstanbul
,6.90,6.92,HALİD BEY,1900,Çim,58,60.5,İstanbul
,6.92,6.92,ABDİ BABA,1900,Çim,59.5,59.5,İstanbul
,6.95,6.80,YENİSİSTEM,2000,Çim,62,56.5,Bursa
,6.97,6.84,AKBELHAN,1700,Çim,61.5,58.8,Bursa
,6.99,6.97,ERSELAY,1900,Çim,53.5,55,Ankara
,7.10,6.87,TAŞUCU,2400,Çim,60,52,Ankara
,7.15,6.76,AKTER TAY,1900,Çim,57.5,54.4,İstanbul
,7.17,6.92,GUBAZ,1900,Çim,57,59.5,İstanbul
,7.23,7.19,ÇAYCI KIZ,2200,Çim,62,60,İstanbul
,7.37,6.80,TUNÇYILMAZ,2000,Çim,63,60,Bursa
2. Koşu,,,,,,,,
,5.64,5.91,PARİSLİ,1400,Kum,56,61.5,Kocaeli
,5.97,5.89,KATANA BOY,1700,Çim,56,56,Bursa
,5.99,6.00,BAŞ KRALİÇE,1400,Çim,56,57.5,Ankara
,6.00,5.77,EASTERN PILOT,1400,Sentetik,53,54,İstanbul
,6.01,5.94,BEBEĞİM OLDUN,1200,Çim,55,57,İstanbul
,6.02,6.00,SARMAT,1300,Çim,55,58,İstanbul
,6.07,6.03,HARPUT ASLANI,1400,Çim,56,56.5,İstanbul
,6.07,6.02,GRITTY,1400,Sentetik,50,58,İstanbul
,6.11,6.00,FRECCIA,1300,Çim,58,53.5,İstanbul
,6.11,5.82,GLORY,1500,Sentetik,56,54,İstanbul
,6.14,6.11,HUSARIA,1900,Çim,53,52,İstanbul
,geçersiz,5.96,RAAVIRA,1400,Kum,56,58,Kocaeli
,geçersiz,5.96,MAGIC TOUCH,1400,Kum,55,55.7,Kocaeli
,geçersiz,5.96,LITTLE WING,1400,Kum,50,54,Kocaeli
3. Koşu,,,,,,,,
,5.81,5.68,PATAKHA GUDDI,2000,Sentetik,50.5,52.5,İstanbul
,5.96,5.90,GREY GHOST,1600,Çim,59.5,56.5,İstanbul
,5.97,5.99,RONIN,1400,Çim,56,57.1,İstanbul
,5.98,5.96,PEEKABOO,1500,Çim,56,57,Bursa
,6.00,5.90,MR BAYBARS,1600,Çim,56,56,İstanbul
,6.06,5.83,TILO GIRL,1700,Çim,50.5,55.9,Bursa
4. Koşu,,,,,,,,
,6.58,6.57,KOŞUCU KIZ,1700,Çim,54,58.5,Bursa
,6.58,6.58,YURTSEVİL,1200,Çim,50,52,Bursa
,6.62,6.64,TUĞÇEYİM,1200,Çim,51.5,52,İzmir
,6.80,6.64,GÜL DERYA,1200,Çim,60.5,52.1,İstanbul
,6.84,6.66,GELİN TÜLÜ,1600,Çim,50,54,İstanbul
,6.85,6.94,ÇÖL KRALİÇESİ,1900,Çim,50,58,İstanbul
,6.87,6.68,AYBENOVA,1900,Çim,58,58.5,İstanbul
,6.97,6.94,OKALİPTÜS,1900,Çim,50,55.4,İstanbul
,7.00,6.95,MALĞUN HATUN,2200,Çim,59,59,İstanbul
,7.01,6.40,TURBOLU,1500,Sentetik,50,50.3,İstanbul
,7.17,6.83,KIZIL ZEYNA,1900,Kum,54.5,56.6,Kocaeli
5. Koşu,,,,,,,,
,6.45,6.77,SEMENDİN OĞLU,1400,Kum,61,61,Kocaeli
,6.50,6.78,ULU BEDEN,1400,Kum,57,58,Kocaeli
,6.67,6.51,KAPTANPAŞALI,1300,Sentetik,57,57,İstanbul
,6.70,6.51,KARBİR,1300,Sentetik,53,53.8,İstanbul
,6.80,6.67,BAYBARSBEY,1500,Çim,57,57,Bursa
,6.80,6.53,JULNAR,1300,Sentetik,55,55.5,İstanbul
,6.81,6.70,GÜRCEYHUN,1400,Çim,59,57,İstanbul
,6.82,6.70,GENÇYÜREK,1400,Çim,60,60,İstanbul
,6.85,6.55,AYBARIM,1300,Sentetik,55,55,İstanbul
,6.90,6.79,BALDER,1400,Çim,57,57,İstanbul
,6.93,6.79,TOSKAAN,1400,Çim,53,53,İstanbul
,7.06,6.53,GÖK MİLA,1300,Sentetik,55,57,İstanbul
,7.19,6.85,ALEMARA,1200,Çim,51,57,İstanbul
6. Koşu,,,,,,,,
,5.98,5.99,METAL HEART,1300,Çim,57,57,Ankara
,6.00,5.97,UPAMECANO,1400,Çim,57,54.6,Ankara
,6.05,6.00,BUILD YOUR DREAMS,1400,Çim,57,57.1,İstanbul
,6.07,5.98,NALÇAKAN HAN,1400,Çim,57,54.2,Ankara
,6.08,6.01,YAKARİ,1600,Çim,57,56,Ankara
,6.23,6.22,EL GLADIADOR,1400,Çim,57,57,İstanbul
,6.27,6.22,DILUVIO,1400,Çim,57,57,İstanbul
7. Koşu,,,,,,,,
,5.82,6.06,MADAM ORACLE,1400,Kum,59.5,61,Ankara
,6.03,6.04,GOLD FLOWER,2400,Çim,52,56,İstanbul
,6.07,6.16,MITROS ON FIRE,1200,Çim,52.5,60,İstanbul
,6.12,6.14,BOSETTI,1600,Çim,55.5,60,Ankara
,6.15,6.13,STASERA,2100,Çim,55,56,İstanbul
,6.38,6.35,LAVENDER,1600,Çim,61,60,İstanbul
,6.49,6.35,SIDNEYS STAR,1600,Çim,60,60,İstanbul
8. Koşu,,,,,,,,
,5.90,5.80,VICTORY LANE,1300,Sentetik,57,56.5,İstanbul
,5.97,5.97,AGATHA,1400,Çim,57,57,İstanbul
,6.00,6.00,PIHA,1200,Çim,57,56.8,İstanbul
,6.00,5.97,PRENSES YAZ,1400,Çim,57,57,İstanbul
,6.06,6.01,DEJAME,1600,Çim,57,58.1,Ankara
,6.13,6.02,TRAİDORA,1600,Çim,57,55.4,İstanbul
,6.26,6.22,GRACE OF GOD,1400,Çim,57,55,İstanbul
,6.72,6.01,NAZUŞUM,1200,Çim,57,55,İzmir
9. Koşu,,,,,,,,
,6.63,6.51,TULPARIM,1300,Sentetik,55,55.3,İstanbul
,6.71,6.53,ABUZER BABA,1300,Sentetik,57,57,İstanbul
,6.72,6.51,ÇİĞDEMİN DENİZİ,1300,Sentetik,55,52.3,İstanbul
,6.77,6.69,HARPUT MUHAFIZI,1500,Çim,57,57.3,Bursa
,6.83,6.70,UDARHAN,1400,Çim,57,57,İstanbul
,6.87,6.79,ERİŞMİŞ,1400,Çim,57,57,İstanbul
,6.88,6.77,AVRENLİ,1400,Kum,55,57,Kocaeli
,6.88,6.89,GÜLLÜ TAY,1200,Çim,55,57,İstanbul
,6.89,6.51,SEBİLE HANIM,1300,Sentetik,51,55.2,İstanbul
,6.95,6.93,THOTH,1300,Çim,57,57,İstanbul
,6.96,6.79,MEVHİDE HANIM,1400,Çim,55,53.9,İstanbul
,7.01,6.70,EL FAMİLİA,1400,Çim,54,57,İstanbul
,7.09,6.77,YEDİNCİHİS,1400,Kum,57,55,Kocaeli
,7.10,6.70,DELİ ŞİMŞEK,1200,Çim,57,57,İstanbul
