Koşu,Çıktı,Birinci Derece,Skor,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,,,
,6.72,6.25,6.48,BABA MESUT,1500,Sentetik,50,52,İstanbul
,6.89,6.86,6.88,CAN DENİZİM,1900,Çim,58,61,İstanbul
,6.90,6.87,6.88,HALİD BEY,1900,Çim,58,60.5,İstanbul
,6.92,6.92,6.92,ABDİ BABA,1900,Çim,59.5,59.5,İstanbul
,6.95,6.91,6.93,YENİSİSTEM,2000,Çim,62,56.5,Bursa
,6.97,6.90,6.94,AKBELHAN,1700,Çim,61.5,58.8,Bursa
,6.99,6.94,6.96,ERSELAY,1900,Çim,53.5,55,Ankara
,7.10,7.03,7.06,TAŞUCU,2400,Çim,60,52,Ankara
,7.15,6.83,6.99,AKTER TAY,1900,Çim,57.5,54.4,İstanbul
,7.17,6.87,7.02,GUBAZ,1900,Çim,57,59.5,İstanbul
,7.23,7.23,7.23,ÇAYCI KIZ,2200,Çim,62,60,İstanbul
,7.37,6.86,7.12,TUNÇYILMAZ,2000,Çim,63,60,Bursa
2. Koşu,,,,,,,,,
,5.64,5.49,5.56,PARİSLİ,1400,Kum,56,61.5,Kocaeli
,5.97,5.89,5.93,KATANA BOY,1700,Çim,56,56,Bursa
,5.99,5.97,5.98,BAŞ KRALİÇE,1400,Çim,56,57.5,Ankara
,6.00,5.45,5.72,EASTERN PILOT,1400,Sentetik,53,54,İstanbul
,6.01,5.90,5.96,BEBEĞİM OLDUN,1200,Çim,55,57,İstanbul
,6.02,5.94,5.98,SARMAT,1300,Çim,55,58,İstanbul
,6.07,6.02,6.04,HARPUT ASLANI,1400,Çim,56,56.5,İstanbul
,6.07,5.54,5.80,GRITTY,1400,Sentetik,50,58,İstanbul
,6.11,6.09,6.10,FRECCIA,1300,Çim,58,53.5,İstanbul
,6.11,5.55,5.83,GLORY,1500,Sentetik,56,54,İstanbul
,6.14,6.13,6.13,HUSARIA,1900,Çim,53,52,İstanbul
,geçersiz,5.61,,RAAVIRA,1400,Kum,56,58,Kocaeli
,geçersiz,5.63,,MAGIC TOUCH,1400,Kum,55,55.7,Kocaeli
,geçersiz,5.57,,LITTLE WING,1400,Kum,50,54,Kocaeli
3. Koşu,,,,,,,,,
,5.81,5.34,5.57,PATAKHA GUDDI,2000,Sentetik,50.5,52.5,İstanbul
,5.96,5.96,5.96,GREY GHOST,1600,Çim,59.5,56.5,İstanbul
,5.97,5.97,5.97,RONIN,1400,Çim,56,57.1,İstanbul
,5.98,5.94,5.96,PEEKABOO,1500,Çim,56,57,Bursa
,6.00,5.90,5.95,MR BAYBARS,1600,Çim,56,56,İstanbul
,6.06,5.72,5.89,TILO GIRL,1700,Çim,50.5,55.9,Bursa
4. Koşu,,,,,,,,,
,6.58,6.48,6.53,KOŞUCU KIZ,1700,Çim,54,58.5,Bursa
,6.58,6.54,6.56,YURTSEVİL,1200,Çim,50,52,Bursa
,6.62,6.63,6.62,TUĞÇEYİM,1200,Çim,51.5,52,İzmir
,6.80,6.81,6.80,GÜL DERYA,1200,Çim,60.5,52.1,İstanbul
,6.84,6.58,6.71,GELİN TÜLÜ,1600,Çim,50,54,İstanbul
,6.85,6.78,6.81,ÇÖL KRALİÇESİ,1900,Çim,50,58,İstanbul
,6.87,6.67,6.77,AYBENOVA,1900,Çim,58,58.5,İstanbul
,6.97,6.83,6.90,OKALİPTÜS,1900,Çim,50,55.4,İstanbul
,7.00,6.95,6.97,MALĞUN HATUN,2200,Çim,59,59,İstanbul
,7.01,6.06,6.54,TURBOLU,1500,Sentetik,50,50.3,İstanbul
,7.17,6.42,6.79,KIZIL ZEYNA,1900,Kum,54.5,56.6,Kocaeli
5. Koşu,,,,,,,,,
,6.45,6.41,6.43,SEMENDİN OĞLU,1400,Kum,61,61,Kocaeli
,6.50,6.40,6.45,ULU BEDEN,1400,Kum,57,58,Kocaeli
,6.67,6.17,6.42,KAPTANPAŞALI,1300,Sentetik,57,57,İstanbul
,6.70,6.15,6.43,KARBİR,1300,Sentetik,53,53.8,İstanbul
,6.80,6.67,6.73,BAYBARSBEY,1500,Çim,57,57,Bursa
,6.80,6.18,6.49,JULNAR,1300,Sentetik,55,55.5,İstanbul
,6.81,6.74,6.78,GÜRCEYHUN,1400,Çim,59,57,İstanbul
,6.82,6.70,6.76,GENÇYÜREK,1400,Çim,60,60,İstanbul
,6.85,6.20,6.53,AYBARIM,1300,Sentetik,55,55,İstanbul
,6.90,6.79,6.85,BALDER,1400,Çim,57,57,İstanbul
,6.93,6.79,6.86,TOSKAAN,1400,Çim,53,53,İstanbul
,7.06,6.15,6.61,GÖK MİLA,1300,Sentetik,55,57,İstanbul
,7.19,6.73,6.96,ALEMARA,1200,Çim,51,57,İstanbul
6. Koşu,,,,,,,,,
,5.98,5.99,5.99,METAL HEART,1300,Çim,57,57,Ankara
,6.00,6.02,6.01,UPAMECANO,1400,Çim,57,54.6,Ankara
,6.05,6.00,6.03,BUILD YOUR DREAMS,1400,Çim,57,57.1,İstanbul
,6.07,6.04,6.05,NALÇAKAN HAN,1400,Çim,57,54.2,Ankara
,6.08,6.03,6.05,YAKARİ,1600,Çim,57,56,Ankara
,6.23,6.22,6.22,EL GLADIADOR,1400,Çim,57,57,İstanbul
,6.27,6.22,6.24,DILUVIO,1400,Çim,57,57,İstanbul
7. Koşu,,,,,,,,,
,5.82,5.79,5.80,MADAM ORACLE,1400,Kum,59.5,61,Ankara
,6.03,5.96,6.00,GOLD FLOWER,2400,Çim,52,56,İstanbul
,6.07,6.01,6.04,MITROS ON FIRE,1200,Çim,52.5,60,İstanbul
,6.12,6.05,6.08,BOSETTI,1600,Çim,55.5,60,Ankara
,6.15,6.11,6.13,STASERA,2100,Çim,55,56,İstanbul
,6.38,6.37,6.38,LAVENDER,1600,Çim,61,60,İstanbul
,6.49,6.35,6.42,SIDNEYS STAR,1600,Çim,60,60,İstanbul
8. Koşu,,,,,,,,,
,5.90,5.50,5.70,VICTORY LANE,1300,Sentetik,57,56.5,İstanbul
,5.97,5.97,5.97,AGATHA,1400,Çim,57,57,İstanbul
,6.00,6.01,6.00,PIHA,1200,Çim,57,56.8,İstanbul
,6.00,5.97,5.98,PRENSES YAZ,1400,Çim,57,57,İstanbul
,6.06,5.99,6.03,DEJAME,1600,Çim,57,58.1,Ankara
,6.13,6.05,6.09,TRAİDORA,1600,Çim,57,55.4,İstanbul
