Koşu,At İsmi,Profil Linki,Jokey,Son Kilo,Son Mesafe,Son Pist,Son Derece,Kilo,Bugünkü Mesafe,Bugünkü Pist,Şehir,Son Hipodrom
1,SNOW SHOW,/at/94723/snow-show,Y.Gökçe,60,1700,Çim,1.46.05,57,2000,Çim,İzmir,İzmir
1,DUBAI EXPRESS,/at/90161/dubai-express,A.Küründük,60,1900,Kum,2.05.69,58.2,2000,Çim,İzmir,İzmir
1,PEHLİVAN KIZIM,/at/96014/pehlivan-kizim,Murat Keçeci,57,1700,Çim,1.45.08,56,2000,Çim,İzmir,İzmir
1,VIOLET EIGHTEEN,/at/98710/violet-eighteen,N.Avci,56,2400,Çim,2.31.22,61,2000,Çim,İzmir,İzmir
1,MUĞLALI VARGAS,/at/98082/muglali-vargas,K.Tokaçoğlu,55,1700,Çim,1.45.34,59.5,2000,Çim,İzmir,İzmir
1,ALWAYS SPARKLE,/at/101293/always-sparkle,Ö.Faruk Özen,50.5,1700,Çim,1.45.33,55,2000,Çim,İzmir,İzmir
1,MURATIN KIZI,/at/97992/muratin-kizi,B.Bülbül,50,2000,Çim,2.06.02,55,2000,Çim,İzmir,İzmir
1,SEA EDEN,/at/100023/sea-eden,S.Akşın,50,2000,Kum,2.16.82,56,2000,Çim,İzmir,İzmir
1,DOBRA KIZ,/at/96074/dobra-kiz,O.Atmaca,50,1700,Çim,1.47.01,53.2,2000,Çim,İzmir,İzmir
2,LEGEND IS BACK,/at/104624/legend-is-back,H.Yiğit Ünver,57,,,,,1200,Çim,İzmir,
2,PROBALA,/at/104543/probala,S.Altay,57,,,,,1200,Çim,İzmir,
2,PROND OF YOU,/at/103425/prond-of-you,Murat Keçeci,57,,,,,1200,Çim,İzmir,
2,FALLING STAR,/at/103802/falling-star,H.Yolaçıcı,55,,,,,1200,Çim,İzmir,
2,KARA THRACE,/at/104315/kara-thrace,Oğuz Eren,55,,,,,1200,Çim,İzmir,
2,LADY LAVİN,/at/104604/lady-lavin,Y.Gökçe,55,,,,,1200,Çim,İzmir,
2,NO BRAKES,/at/103394/no-brakes,M.Çiçek,55,,,,,1200,Çim,İzmir,
2,REINE DES NEIGES,/at/103747/reine-des-neiges,M.M.Bilgin,55,,,,,1200,Çim,İzmir,
2,SWOBODA,/at/103306/swoboda,H.Şimşek,55,,,,,1200,Çim,İzmir,
3,RÜZGAR BARIŞ,/at/93665/ruzgar-baris,M.Bağ,62,1300,Çim,1.25.13,59,1900,Çim,İzmir,İzmir
3,KIZILVAZO,/at/83395/kizilvazo,M.Göl,60,1700,Çim,1.58.15,56.5,1900,Çim,İzmir,İzmir
3,SON AKTAŞ,/at/94138/son-aktas,M.M.Karabulut,58,2000,Çim,2.30.95,57,1900,Çim,İzmir,İzmir
3,ULUTEKİN,/at/93776/ulutekin,Y.Gökçe,60,1500,Çim,1.40.30,53,1900,Çim,İzmir,Bursa
3,SOĞUK KUYU,/at/97525/soguk-kuyu,Ö.Faruk Özen,58,1300,Çim,1.26.25,57,1900,Çim,İzmir,İzmir
3,BABA ERTÜRK,/at/95508/baba-erturk,Murat Keçeci,56,1700,Çim,1.57.25,59,1900,Çim,İzmir,İzmir
3,BARİTON,/at/91235/bariton,E.Üstün,60,1700,Çim,1.59.60,52.5,1900,Çim,İzmir,İzmir
3,KIZIM YENİDOĞAN,/at/98804/kizim-yenidogan,R.Boran Dündar,52,1200,Çim,1.30.50,52,1900,Çim,İzmir,İzmir
4,KING AKIN,/at/104019/king-akin,M.Göl,56,1600,Kum,1.43.59,57,1600,Kum,İzmir,İzmir
4,MY SON ATEŞ,/at/103375/my-son-ates,M.M.Bilgin,59,1200,Kum,1.15.45,57,1600,Kum,İzmir,İzmir
4,INVINCIBLE MAN,/at/101806/invincible-man,Ha.Gökçe,53,1400,Kum,1.38.43,57.8,1600,Kum,İzmir,Bursa
4,JOE JOYS,/at/104427/joe-joys,N.Avci,57,1600,Kum,1.44.38,57,1600,Kum,İzmir,İzmir
4,TERESA,/at/103253/teresa,A.İnci,55,1400,Kum,1.30.32,57,1600,Kum,İzmir,İzmir
4,SKY BY SAVER,/at/103772/sky-by-saver,O.Atmaca,52,1400,Kum,1.34.18,57,1600,Kum,İzmir,İzmir
5,BLACK SHARK,/at/102473/black-shark,B.M.Mırık,57,,,,,1200,Çim,İzmir,
5,KRAL AYVALIK,/at/102889/kral-ayvalik,İ.S.Söğüt,57,,,,,1200,Çim,İzmir,
5,LIGHT OF MY WORLD,/at/102789/light-of-my-world,M.Çiçek,57,,,,,1200,Çim,İzmir,
5,RÜZGARIN SESİ,/at/103801/ruzgarin-sesi,M.M.Bilgin,57,,,,,1200,Çim,İzmir,
5,CAT WOMAN,/at/104061/cat-woman,Murat Keçeci,55,,,,,1200,Çim,İzmir,
5,CENTURIES VICTORY,/at/104236/centuries-victory,N.Avci,55,,,,,1200,Çim,İzmir,
5,MY BROWNIE,/at/104797/my-brownie,A.Küründük,55,,,,,1200,Çim,İzmir,
5,OLAYIN ASLI,/at/104058/olayin-asli,Y.Gökçe,55,,,,,1200,Çim,İzmir,
5,QUEEN OF ENIGMA,/at/104204/queen-of-enigma,H.Şimşek,55,,,,,1200,Çim,İzmir,
5,SHINE AGAIN,/at/104371/shine-again,A.İnci,55,,,,,1200,Çim,İzmir,
6,SÜSLÜCAN,/at/98492/suslucan,Murat Keçeci,59,1700,Kum,1.51.68,59.5,1400,Kum,İzmir,Kocaeli
6,LOVE ANGEL,/at/97257/love-angel,M.Göl,55.5,2000,Kum,2.18.61,52,1400,Kum,İzmir,İzmir
6,REİS,/at/100386/reis,B.M.Mırık,57,1400,Kum,1.29.34,58.3,1400,Kum,İzmir,Bursa
6,ESRARENGİZ,/at/100362/esrarengiz,N.Avci,56,1400,Kum,1.28.80,59.5,1400,Kum,İzmir,İzmir
6,TOULAYNA,/at/99984/toulayna,A.Ceylan,54.5,2100,Kum,2.21.55,61,1400,Kum,İzmir,Bursa
6,IMPASSABLE CASTLE,/at/99789/impassable-castle,A.İnci,53,1400,Kum,1.29.84,55,1400,Kum,İzmir,İzmir
6,GÖKTUĞ MY SON,/at/98711/goktug-my-son,Y.Gökçe,52.5,2000,Kum,2.13.29,58,1400,Kum,İzmir,İzmir
6,DRUNKEN MASTER,/at/100178/drunken-master,Ha.Gökçe,50,1400,Kum,1.29.24,58.5,1400,Kum,İzmir,İzmir
6,BAHİSÇİ,/at/100722/bahisci,İ.S.Söğüt,50,1900,Kum,2.03.86,58,1400,Kum,İzmir,İzmir
6,ALSAMA HAZİN,/at/99646/alsama-hazin,O.Atmaca,50,1400,Kum,1.28.42,52.2,1400,Kum,İzmir,İzmir
6,BOCCE,/at/98226/bocce,Ö.Faruk Özen,50,1400,Kum,1.28.47,52.5,1400,Kum,İzmir,İzmir
7,OBRADA,/at/12285/obrada,A.Küründük,63,1400,Kum,1.25.45,58.5,1200,Kum,İzmir,İzmir
7,THUNDER JEST,/at/86973/thunder-jest,B.M.Mırık,61,1300,Çim,1.17.43,60,1200,Kum,İzmir,İzmir
7,COSMIC KID,/at/89976/cosmic-kid,E.Yavuz,57,1500,Kum,1.33.01,56,1200,Kum,İzmir,Kocaeli
7,FEBRİS,/at/94744/febris,M.M.Bilgin,57,1400,Kum,1.28.05,55,1200,Kum,İzmir,İzmir
7,ASLAN HALİLİM,/at/99491/aslan-halilim,Murat Keçeci,56.5,1200,Kum,1.15.49,57,1200,Kum,İzmir,Bursa
7,WOLF DED,/at/100208/wolf-ded,N.Avci,56.5,1600,Kum,1.43.46,57,1200,Kum,İzmir,İzmir
7,APPRECIATE PROTEO,/at/94574/appreciate-proteo,S.Kaya,56,1400,Kum,1.27.23,55.3,1200,Kum,İzmir,Bursa
8,SEMRAKAYA,/at/102013/semrakaya,N.Avci,58,1400,Sentetik,1.33.86,57,1200,Çim,İzmir,İstanbul
8,KALENDER TAY,/at/103049/kalender-tay,A.İnci,57,1200,Çim,1.19.17,56.5,1200,Çim,İzmir,İzmir
8,PENÇSİR,/at/102038/pencsir,K.Tokaçoğlu,57,1300,Çim,1.25.24,60,1200,Çim,İzmir,Bursa
8,SARITAHA,/at/102236/saritaha,M.Çiçek,57,1200,Çim,1.19.37,55.7,1200,Çim,İzmir,İzmir
8,ŞİMŞEKKIRAN,/at/101539/simsekkiran,A.Küründük,57,1200,Çim,1.19.20,55,1200,Çim,İzmir,İzmir
8,ESENGÜR,/at/102448/esengur,B.M.Mırık,55,1200,Kum,1.22.95,57,1200,Çim,İzmir,Kocaeli
8,ARAM SAMSAM,/at/102602/aram-samsam,M.M.Bilgin,54,1200,Çim,1.19.95,57,1200,Çim,İzmir,İzmir
8,KAYAŞAHİN,/at/101232/kayasahin,H.Yiğit Ünver,53,1200,Çim,1.22.53,58,1200,Çim,İzmir,İstanbul
9,DRAGON BLAST,/at/101833/dragon-blast,N.Avci,57,,,,,1200,Çim,İzmir,
9,PERS JOYS,/at/104582/pers-joys,A.İnci,57,,,,,1200,Çim,İzmir,
9,PERSIAN CARAMEL,/at/104699/persian-caramel,A.Küründük,57,,,,,1200,Çim,İzmir,
9,TRY YOU WANT,/at/102535/try-you-want,İ.Kale,57,,,,,1200,Çim,İzmir,
9,CANDY GLOW,/at/104614/candy-glow,Ö.Faruk Özen,55,,,,,1200,Çim,İzmir,
9,ETERNAL STORM,/at/104325/eternal-storm,Murat Keçeci,55,,,,,1200,Çim,İzmir,
9,HARD TIGER,/at/104707/hard-tiger,M.M.Bilgin,55,,,,,1200,Çim,İzmir,
9,HARMONIA,/at/103989/harmonia,H.Şimşek,55,,,,,1200,Çim,İzmir,
9,ROYAL CIPHER,/at/104217/royal-cipher,M.Çiçek,55,,,,,1200,Çim,İzmir,
9,ŞEKER PİRAYE,/at/104283/seker-piraye,B.M.Mırık,55,,,,,1200,Çim,İzmir,
