Koşu,Çıktı,At İsmi,Son Mesafe,Son Pist,Son Kilo,Kilo,Son Hipodrom
1. Koşu,,,,,,,
,6.06,DUBAI EXPRESS,1900,Kum,60,58.2,İzmir
,6.08,VIOLET EIGHTEEN,2400,Çim,56,61,İzmir
,6.09,SEA EDEN,2000,Kum,50,56,İzmir
,6.19,MUĞLALI VARGAS,1700,Çim,55,59.5,İzmir
,6.19,ALWAYS SPARKLE,1700,Çim,50.5,55,İzmir
,6.20,MURATIN KIZI,2000,Çim,50,55,İzmir
,6.29,PEHLİVAN KIZIM,1700,Çim,57,56,İzmir
,6.32,DOBRA KIZ,1700,Çim,50,53.2,İzmir
,6.38,SNOW SHOW,1700,Çim,60,57,İzmir
2. Koşu,,,,,,,
,geçersiz,LEGEND IS BACK,,,57,,
,geçersiz,PROBALA,,,57,,
,geçersiz,PROND OF YOU,,,57,,
,geçersiz,FALLING STAR,,,55,,
,geçersiz,KARA THRACE,,,55,,
,geçersiz,LADY LAVİN,,,55,,
,geçersiz,NO BRAKES,,,55,,
,geçersiz,REINE DES NEIGES,,,55,,
,geçersiz,SWOBODA,,,55,,
3. Koşu,,,,,,,
,6.78,RÜZGAR BARIŞ,1300,Çim,62,59,İzmir
,6.83,SOĞUK KUYU,1300,Çim,58,57,İzmir
,6.89,BABA ERTÜRK,1700,Çim,56,59,İzmir
,6.99,ULUTEKİN,1500,Çim,60,53,Bursa
,7.08,KIZILVAZO,1700,Çim,60,56.5,İzmir
,7.24,BARİTON,1700,Çim,60,52.5,İzmir
,7.53,SON AKTAŞ,2000,Çim,58,57,İzmir
,7.75,KIZIM YENİDOĞAN,1200,Çim,52,52,İzmir
4. Koşu,,,,,,,
,6.45,KING AKIN,1600,Kum,56,57,İzmir
,6.51,TERESA,1400,Kum,55,57,İzmir
,6.52,MY SON ATEŞ,1200,Kum,59,57,İzmir
,6.52,JOE JOYS,1600,Kum,57,57,İzmir
,6.72,SKY BY SAVER,1400,Kum,52,57,İzmir
,7.04,INVINCIBLE MAN,1400,Kum,53,57.8,Bursa
5. Koşu,,,,,,,
,geçersiz,BLACK SHARK,,,57,,
,geçersiz,KRAL AYVALIK,,,57,,
,geçersiz,LIGHT OF MY WORLD,,,57,,
,geçersiz,RÜZGARIN SESİ,,,57,,
,geçersiz,CAT WOMAN,,,55,,
,geçersiz,CENTURIES VICTORY,,,55,,
,geçersiz,MY BROWNIE,,,55,,
,geçersiz,OLAYIN ASLI,,,55,,
,geçersiz,QUEEN OF ENIGMA,,,55,,
,geçersiz,SHINE AGAIN,,,55,,
6. Koşu,,,,,,,
,6.10,BAHİSÇİ,1900,Kum,50,58,İzmir
,6.20,DRUNKEN MASTER,1400,Kum,50,58.5,İzmir
,6.25,GÖKTUĞ MY SON,2000,Kum,52.5,58,İzmir
,6.26,TOULAYNA,2100,Kum,54.5,61,Bursa
,6.26,BOCCE,1400,Kum,50,52.5,İzmir
,6.27,ESRARENGİZ,1400,Kum,56,59.5,İzmir
,6.27,ALSAMA HAZİN,1400,Kum,50,52.2,İzmir
,6.36,REİS,1400,Kum,57,58.3,Bursa
,6.37,IMPASSABLE CASTLE,1400,Kum,53,55,İzmir
,6.39,SÜSLÜCAN,1700,Kum,59,59.5,Kocaeli
,6.70,LOVE ANGEL,2000,Kum,55.5,52,İzmir
7. Koşu,,,,,,,
,6.05,COSMIC KID,1500,Kum,57,56,Kocaeli
,6.09,OBRADA,1400,Kum,63,58.5,İzmir
,6.15,APPRECIATE PROTEO,1400,Kum,56,55.3,Bursa
,6.22,FEBRİS,1400,Kum,57,55,İzmir
,6.25,WOLF DED,1600,Kum,56.5,57,İzmir
,6.28,ASLAN HALİLİM,1200,Kum,56.5,57,Bursa
,6.55,THUNDER JEST,1300,Çim,61,60,İzmir
8. Koşu,,,,,,,
,6.22,ESENGÜR,1200,Kum,55,57,Kocaeli
,6.46,SEMRAKAYA,1400,Sentetik,58,57,İstanbul
,6.51,PENÇSİR,1300,Çim,57,60,Bursa
,6.60,KALENDER TAY,1200,Çim,57,56.5,İzmir
,6.60,ARAM SAMSAM,1200,Çim,54,57,İzmir
,6.64,SARITAHA,1200,Çim,57,55.7,İzmir
,6.64,ŞİMŞEKKIRAN,1200,Çim,57,55,İzmir
,6.79,KAYAŞAHİN,1200,Çim,53,58,İstanbul
9. Koşu,,,,,,,
,geçersiz,DRAGON BLAST,,,57,,
,geçersiz,PERS JOYS,,,57,,
,geçersiz,PERSIAN CARAMEL,,,57,,
,geçersiz,TRY YOU WANT,,,57,,
,geçersiz,CANDY GLOW,,,55,,
,geçersiz,ETERNAL STORM,,,55,,
,geçersiz,HARD TIGER,,,55,,
,geçersiz,HARMONIA,,,55,,
