at_ismi,at_id,bugun_tarih,bugun_sehir,bugun_kosu_no,json_dosyasi,onceki_kosu_url,at_derece,at_sira,onceki_kosu_birinci_ismi,onceki_kosu_birinci_derece,onceki_kosu_birinci_ganyan,onceki_kosu_mesafe,onceki_kosu_pist
ÇAYCI KIZ,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/10-09-2025/istanbul/8/sonuclar?kosu=141766&at=97835,2.38.24,1,ÇAYCI KIZ,2.38.24,"4,45",2200,Çim
ABDİ BABA,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/4/sonuclar?kosu=141766&at=97309,2.09.79,1,ABDİ BABA,2.09.79,"2,50",1900,Çim
AKBELHAN,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/15-09-2025/bursa/8/sonuclar?kosu=141766&at=100161,1.54.38,6,YEMEN RÜZGARI,1.53.77,"4,95",1700,Çim
TUNÇYILMAZ,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/7/sonuclar?kosu=141766&at=94392,2.24.28,10,YENİSİSTEM,2.14.81,"3,65",2000,Çim
TAŞUCU,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/11-09-2025/ankara/6/sonuclar?kosu=141766&at=93617,2.48.46,8,MOTOR,2.46.20,"5,15",2400,Çim
YENİSİSTEM,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/08-09-2025/bursa/7/sonuclar?kosu=141766&at=93778,2.14.81,1,YENİSİSTEM,2.14.81,"3,65",2000,Çim
CAN DENİZİM,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/4/sonuclar?kosu=141766&at=98929,2.10.50,5,ABDİ BABA,2.09.79,"2,50",1900,Çim
GUBAZ,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/4/sonuclar?kosu=141766&at=76234,2.15.61,9,ABDİ BABA,2.09.79,"2,50",1900,Çim
HALİD BEY,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/12-09-2025/istanbul/4/sonuclar?kosu=141766&at=94737,2.10.44,4,ABDİ BABA,2.09.79,"2,50",1900,Çim
AKTER TAY,,20250926,i̇stanbul,1,istanbul_atlari_20250926.json,https://yenibeygir.com/22-08-2025/istanbul/5/sonuclar?kosu=141766&at=93894,2.12.99,9,ERSANŞAH,2.06.82,"2,25",1900,Çim
